Ticker,Last Day Closing Price,CCI,% from Average Volume,Previous 3 Days Trend
MHK,120.9800033569336,55.657297209975766,-72.02829990429356,up
MOH,309.7950134277344,-182.417593324137,-31.430121564941615,mixed
TAP,53.974998474121094,-87.6454084949977,-37.06185948961498,up
MDLZ,67.90499877929688,-119.76795246746119,-62.837464022018565,mixed
MPWR,713.8499755859375,-23.75755824208926,-55.924458628980524,mixed
MNST,51.20000076293945,-156.72799665644715,54.014813992856325,mixed
MCO,395.1099853515625,-55.705909828975734,-64.46123600919869,down
MS,96.66000366210938,-48.54053248556901,-76.43251187223412,down
MOS,30.420000076293945,3.6907658866640336,-79.45658288663151,mixed
MSI,358.8900146484375,-40.19056990506723,-75.48763582321915,mixed
MSCI,488.7300109863281,-4.334943524608112,-50.663704738707395,mixed
NDAQ,58.76750183105469,-148.43715238085332,-73.2858498252602,mixed
NTAP,117.375,133.67753497544425,-6.204631692353222,mixed
NFLX,632.2999877929688,47.60141245735887,-69.38622675780304,mixed
NEM,41.66999816894531,-53.03455756997209,-77.0804257246106,mixed
NWSA,26.8799991607666,97.58945678485411,-70.08886854482733,up
NWS,27.639999389648438,98.89922367811401,-77.44752962483814,mixed
NEE,78.88500213623047,128.0685982448899,-54.31256967216302,mixed
NKE,94.05999755859375,127.91384977504671,-66.50626998022592,mixed
NI,28.799999237060547,-21.913073367438386,-65.34922868198223,up
NDSN,232.83999633789062,-105.43461415730907,-69.98541866883808,mixed
NSC,220.13999938964844,-137.0494036504276,-73.46813888658278,mixed
NTRS,83.625,-56.040738202525084,-44.76130007777297,up
NOC,449.0400085449219,-187.2424347255906,-56.946016056249405,mixed
NCLH,16.3700008392334,49.1668186155034,-65.13336507292557,mixed
NRG,79.75,-22.64491631654853,-25.77228830639418,mixed
NUE,166.0399932861328,-192.92238569747218,-58.502974905392726,mixed
NVDA,1087.97998046875,110.49826015856313,-27.101267313145133,mixed
NVR,7580.0498046875,-24.346793583697583,-43.29339733952301,up
NXPI,266.260009765625,-3.581215190614139,-61.456771829182735,mixed
ORLY,963.1900024414062,-122.606636997798,-60.937489025958804,mixed
OXY,62.150001525878906,-95.43744253399089,-74.34521953304468,mixed
ODFL,172.71499633789062,-79.9126600314848,-52.98897179176901,mixed
OMC,91.20999908447266,-154.94859513185364,-78.28603442386847,mixed
ON,71.18000030517578,-36.24413556296786,-75.24979387314535,mixed
OKE,80.2300033569336,-15.524908722996118,-82.0324854949313,mixed
ORCL,115.1708984375,-105.36102216072813,-55.49136984683927,mixed
OTIS,97.80999755859375,67.22681552388534,-14.601346953524134,up
PCAR,105.56999969482422,-84.86896844079419,-55.27434800038045,mixed
PKG,182.0500030517578,63.49656534378872,-77.81627295908416,mixed
PANW,288.8500061035156,-134.25382443135757,-55.83457714545743,mixed
PARA,11.84000015258789,-72.6045740823735,-56.38053227475594,mixed
PH,525.094970703125,-115.62728276446693,-51.320983378592466,mixed
PAYX,119.56999969482422,-98.92411027232593,-70.53447114918845,mixed
PAYC,145.7899932861328,-300.5309360333756,50.05225577726689,down
PYPL,61.95000076293945,-74.75791939520937,-70.17321237055667,down
PNR,79.91999816894531,-105.01193456564454,-59.82898271367756,up
PEP,170.0500030517578,-176.39206531802418,-55.678320492057395,mixed
PFE,28.354999542236328,10.715486712879454,-50.93283632228201,mixed
PCG,18.387500762939453,35.58533100209623,-82.94091888615827,mixed
PM,100.25,51.23617752707625,-74.24838898275785,mixed
PSX,142.05499267578125,-117.28659309074753,-71.82699919015637,mixed
PNW,78.45999908447266,99.50195076065661,-83.45853884957741,mixed
PNC,154.70689392089844,-71.14456974427094,-73.09992653722432,up
POOL,358.79998779296875,-121.97319943099879,-82.6897870109115,mixed
PPG,130.4149932861328,-116.63758408726788,-74.54278425547226,mixed
PPL,28.94499969482422,-12.109593538167665,-72.3588665937893,mixed
PFG,81.30000305175781,-82.44799520885816,-67.37141265525176,mixed
PG,163.07000732421875,-118.97992534005702,-69.03878487120159,mixed
PGR,208.8300018310547,-16.571153756431723,-60.28343420071827,mixed
PLD,108.20999908447266,21.61390526764866,-20.135473085044424,up
